_id,pn,len,npn,nlen,ft,dn,ndn,key1,key2,key3,key4
INAP10EV01,7,2,7,2,chapter,Global warming,భూగోళం వేడెక్కుతోంది,Science,Earth,Climate,Greenhouse Effect
INAP10EV02,9,2,9,2,chapter,Saviours of our environment,మన పర్యావరణ పరిరక్షకులు,Science,Earth,Other Earth,Environment
INAP10EV03,11,2,11,2,chapter,Estimation of particulate pollutants in air,గాలిలోని రేణురూప కలుషితాలను అంచనా వేద్దాం,Science,Earth,Human Impact,Pollution
INAP10EV04,13,2,13,2,chapter,Vaccination - A shield,మనం టీకాలు ఎందుకు వేయించుకోవాలి?,Science,Medicine,Healthy Living,Vaccines
INAP10EV05,15,2,15,2,chapter,Mosquitoes woes,దోమల బెడద,Science,Medicine,Disease & Injury,Other Disease
INAP10EV06,17,3,17,3,chapter,Fossil fuel is not forever,శిలాజ ఇంధనాలు,Science,Earth,Geology,Fossil Fuels
INAP10EV07,20,2,20,2,chapter,Changes in the surroundings and their effect,మన పరిసరాలలో మార్పులు - వాటి ప్రభావాలు,Science,Earth,Other Earth,Landscape
INAP10EV08,22,2,22,2,chapter,Use solar energy - Save electricity,సౌరశక్తిని వినియోగిద్దాం - విద్యుత్తును కాపాడుకుందాం.,Science,Earth,Other Earth,Natural Resources
INAP10EV09,24,2,24,2,chapter,Pollination - an interaction of plants and insects,మొక్కలు కీటకాల మధ్య ప్రతిచర్యలు – పరాగ సంపర్కం,Science,Biology,Plants,Pollination
INAP10EV10,26,2,26,2,chapter,Observing the 3 'R's,మూడు 'ఆర్' ల పరిశీలన,Science,Earth,Human Impact,Waste & Recycling
INAP10EV11,28,2,28,2,chapter,Conserving natural resources,సహజ వనరులను సంరక్షించుకుందాం,Science,Earth,Other Earth,Natural Resources
INAP10EV12,30,2,30,2,chapter,Optimum use of groundwater,భూగర్భజలాల గరిష్ట వినియోగం -పర్యవసానాలు,Science,Earth,Oceans & Water,Fresh Water
INAP10EV13,32,2,32,2,chapter,Impact of low-cost imports in our economy and environment,ఆర్థిక వ్యవస్థ - పర్యావరణంపై తక్కువ ధరలకు విక్రయించే వస్తువుల ప్రభావం,Social Studies,Economy,Business,Economics
INAP10EV14,34,2,34,2,chapter,Employment in semi-rural areas,గ్రామీణ ప్రాంతాల పట్టణీకరణ - ఉపాధి అవకాశాలు,Social Studies,Economy,Occupations,Rural
INAP10EV15,36,2,36,2,chapter,Lots of water and yet no water,చుట్టూనీరు అయినా దాహం!,Science,Earth,Oceans & Water,Flood
INAP10EV16,38,2,38,2,chapter,Do we need zoos?,జంతు ప్రదర్శనశాలలు అవసరమా?,Social Studies,Issues,Animal Rights,
INAP10EV17,40,2,40,2,chapter,"Landscape, culture, people and their relationships","ప్రకృతి, సంస్కృతి, ప్రజల మధ్య సంబంధాలు",Science,Earth,Other Earth,Landscape
INAP10EV18,42,2,42,2,chapter,Household Wastes,ఇంట్లో తయారయ్యే చెత్త,Science,Earth,Human Impact,Waste & Recycliong
INAP10EV19,44,2,44,2,chapter,The plight of ragpickers,చెత్తని సేకరించే వారి దుస్థితి,Science,Earth,Human Impact,Waste & Recycliong
INAP10EV20,46,2,46,2,chapter,Water bodies in the neighbourhood,మన పరిసరాలలో నీటి వనరులు.,Science,Earth,Human Impact,Pollution
INAP10EV21,48,2,48,2,chapter,Impact assessment of developmental projects,అభివృద్ధి పథకాల ప్రభావాన్ని అంచనావేద్దాం,Social Studies,Economy,Other Economy,Sustainable Development
INAP10EV22,50,2,50,2,chapter,Awareness about common ailments,సాధారణ ఆరోగ్య సమస్యలపై అవగాహన,Science,Medicine,Healthy Living,Healthcare
INAP10EV23,52,2,52,2,chapter,Disaster management,ప్రకృతి వైపరీత్యాలలో మనం ఏం చేయాలి.,Science,Earth,Natural Disasters,Preparedness
INAP10EV24,54,2,54,2,chapter,Education for all,అందరికీ విద్య అందరిదీ బాధ్యత,Social Studies,Community,Education,Other Education
INAP10EV25,56,2,56,2,chapter,Healthy domestic environment,ఇంటివాతావరణం ఆరోగ్యకరంగా ఉంచుకుందాం.,Science,Earth,Human Impact,Pollution
INAP10EV26,58,2,58,2,chapter,Depletion and degradation of natural resources,సహజవనరులు తరిగిపోతున్నాయి.,Science,Earth,Other Earth,Natural Resources
INAP10EV27,60,2,60,2,chapter,Water harvesting,నీటి వనరులను సంరక్షించుకుందాం,Science,Earth,Oceans & Water,Fresh Water
INAP10EV28,62,2,62,2,chapter,Flurosis,ఫ్లోరోసిస్,Science,Medicine,Disease & Injury,Other Disease
INAP10EV29,64,1,64,1,chapter,Nature is a sacred place,ప్రకృతిని పవిత్రంగా చూద్దాం,Science,Earth,Oceans & Water,River
INAP10M01,9,24,1,1,chapter,Real Numbers,వాస్తవసంఖ్యలు,Mathematics,Numbers,Real,
INAP10M02,33,22,25,25,chapter,Sets,సమితులు,Mathematics,Numbers,Sets,
INAP10M03,55,26,47,47,chapter,Polynomials,బహుపదులు,Mathematics,Algebra,Other Algebra,
INAP10M04,81,28,73,73,chapter,Pair of Linear Equations in Two Variables,రెండుచరరాశులలో రేఖీయ సమీకరణాల జత,Mathematics,Algebra,Variable,
INAP10M05,109,24,101,101,chapter,Quadratic Equations,వర్గ సమీకరణాలు,Mathematics,Algebra,Expressions,
INAP10M06,133,34,125,125,chapter,Progressions,శ్రేఢులు,Mathematics,Arithmatic,Order of Operations,
INAP10M07,167,32,159,159,chapter,Coordinate Geometry,నిరూపక జ్యామితి,Mathematics,Other Mathematics,Graphs,
INAP10M08,199,34,191,191,chapter,Similar Triangles,సరూప త్రిభుజాలు,Mathematics,Geometry,Shapes,Triangle
INAP10M09,233,20,225,225,chapter,Tangents and Secants to a Circle,వృత్తానికి స్పర్శరేఖలు మరియు ఛేదనరేఖలు,Mathematics,Geometry,Shapes,Circle
INAP10M10,253,24,245,245,chapter,Mensuration,క్షేత్రమితి,Mathematics,Measurement,Area,
INAP10M11,277,25,269,269,chapter,Trigonometry,త్రికోణమితి,Mathematics,Trigonometry,,
INAP10M12,302,11,294,294,chapter,Applications of Trigonometry,త్రికోణమితి అనువర్తనాలు,Mathematics,Trigonometry,Other Trignometry,
INAP10M13,313,18,305,305,chapter,Probability,సంభావ్యత,Mathematics,Applied Mathematics,Probability Theory,
INAP10M14,331,30,323,323,chapter,Statistics,సాంఖ్యక శాస్త్రం,Mathematics,Applied Mathematics,Statistics,
INAP10M15,361,13,353,353,chapter,App-1 Mathematical Modelling,,,,,
INAP10M16,374,9,366,366,chapter,App-2 Answers,,,,,
INAP10M17,393,3,385,385,chapter,Note to the Teachers,,,,,
INAP10M18,396,3,388,388,chapter,Syllabus,,,,,
INAP10M19,399,2,391,391,chapter,Academic Standards,,,,,