name,nepali,lat,long
Adarsha Saula Yubak Secondary School,आदर्श सौल युवक माध्यमिक विद्यालय,27.635608,85.305361
Shree Bhanodaya Basic School,श्री भानोदय आधारभूत विद्यालय,27.647765,85.360489
Shree Siddhi Mangal Secondary School,श्री सिद्धिमङ्गल माध्यमिक विद्यालय,27.649335,85.353612
Nalang Model Academy,नलाङ मोडेल एकेडेमी,27.87303,84.827855
Shree Kimberly Kinder Garten School,श्री किम्बरली किन्डर गार्टेन विद्यालय,27.610555,83.403888
Shree Shiksha Bodhini Secondary School,श्री शिक्षा बोधिनी माध्यमिक विद्यालय,27.697316,84.118015
Shree Janata Basic Level School,श्री जनता आधारभूत तह विद्यालय,27.694722,84.055
Shree Nepal Shanti Secondary School,श्री नेपाल शान्ति माध्यमिक विद्यालय,27.673056,84.0625
Shree Hupsekot Secondary School,श्री हुप्सेकोट माध्यमिक विद्यालय,27.733778,84.080278
Shree Suryajyoti Secondary School,श्री सूर्य ज्योती माध्यमिक विद्यालय,27.682111,84.080416
Shree Saraswati Sanskrit and General Secondary School,श्री सरस्वती संस्कृत तथा साधारण माध्यमिक विद्यालय,27.677777,84.049167
Shree Bhadrakali Higher Secondary School,श्री भद्रकाली उच्च माध्यमिक विद्यालय,28.213707,84.011714
Shree Gyanjyoti Secondary School,श्री ज्ञान ज्योती माध्यमिक विद्यालय,28.155,84.6469
Shree Chaturmala Secondary School,श्री चतुर्माला माध्यमिक विद्यालय,28.1277,84.658
Shree Janata Secondary School,श्री जनता माध्यमिक विद्यालय,28.0694,84.54
Shree Amar Jyoti Secondary School        ,श्री अमर ज्योती माध्यमिक विद्यालय,28.0266,84.5177
Shree Jeevanjyoti Secondary School,श्री जीवन ज्योती माध्यमिक विद्यालय,27.9716,84.44335
Shree Akala Secondary School,श्री अकला माध्यमिक विद्यालय,27.954,84.47388
Shree Saraswati Secondary School,श्री सरस्वती माध्यमिक विद्यालय,27.98418,84.62698
Shree Mandali Secondary School,श्री मण्डली माध्यमिक विद्यालय,28.05388,84.589
Shree Paropakar Aadarsha Secondary School,श्री परोपकार आदर्श माध्यमिक विद्यालय,28.11055,84.6522
Shree Mahendra Lila Secondary School,श्री महेन्द्र लिला माध्यमिक विद्यालय,28.0769,84.563
Shree Janajyoti Secondary School,श्री जन ज्योती माध्यमिक विद्यालय,28.105,84.605
Shree Ganga Milan Secondary School,श्री गंगा मिलन माध्यमिक विद्यालय,28.19624,84.38574
Shree Jana Jyoti Seconday School,श्री जन ज्योती माध्यमिक विद्यालय,28.2369,84.33055
Shree Janakalyan Secondary School,श्री जनकल्याण माध्यमिक विद्यालय,29.84305,84.43138
Shree Jana Jagriti Secondary School,श्री जन जागृति माध्यमिक विद्यालय,28.25315946,84.38451041
Shree Bal Bikas Basic School,श्री बालविकास माध्यमिक विद्यालय,28.17235575,84.443937
Annapurna Secondary School,अन्नपूर्ण माध्यमिक विद्यालय,28.188,84.341
Shree Chaitanyodaya Satya Secondary School,श्री चैतन्योदय सत्य माध्यमिक विद्यालय,28.16,84.456
Shree Dhodeni Basic School,श्री ढोडेनी आधारभूत विद्यालय,28.22,84.47999
Shree Prabhat Shanti Purna Secondary School,श्री प्रभात शान्ति पूर्ण माध्यमिक विद्यालय,28.253,84.3616
Shree Kanya Secondary School,श्री कन्या माध्यमिक विद्यालय,28.2327,83.9905
Shree Gyan Bhumi Secondary School,श्री ज्ञानभूमि माध्यमिक विद्यालय,28.231,83.9916
Shree Bhanu Sanskrit Secondary School,श्री भानु संस्कृत माध्यमिक विद्यालय,28.00606,84.28389
Shree Dhruba Secondary School,श्री ध्रुव माध्यमिक विद्यालय,28.224,84.0627
Shree Jana Kalyan Secondary School,श्री जनकल्याण माध्यमिक विद्यालय,28.224278,84.15139462
Shree Shivalaya Secondary School,श्री शिवालय माध्यमिक विद्यालय,28.1497,84.1805
Shree Janata Secondary School,श्री जनता माध्यमिक विद्यालय,28.107,84.2219
Shree Chhorepatan Secondary School,श्री छोरेपाटन माध्यमिक विद्यालय,28.19,83.956
Shree Shanta Secondary School,श्री शान्ता माध्यमिक विद्यालय,28.234,83.9255
Shree Barahi Secondary School,श्री वाराही माध्यमिक विद्यालय,28.218,83.976
Shree Janamat Secondary school,श्री जनमत माध्यमिक विद्यालय,28.2419,83.66
Shree Adharboot Secondary School,श्री आधारभूत माध्यमिक विद्यालय,28.049,83.989
Shree Mahendra Secondary School,श्री महेन्द्र माध्यमिक विद्यालय,28.275,83.968
Shree Janak Secondary School,श्री जनक माध्यमिक विद्यालय,28.2175,83.676
Purna Sanjiwani Lankhanamai Secondary School,पूर्ण सञ्जीवनी लङ्खनामाई माध्यमिक विद्यालय,27.61839093,85.5508479
Shree Shankheswori Mahalaxmi Secondary School,श्री शंखेश्वर महालक्ष्मी माध्यमिक विद्यालय,27.57581573,85.56913876
Shree Kalidevi Secondary School,श्री कालीदेवी माध्यमिक विद्यालय,27.50626994,85.24537066
Shree Karathari Secondary School,श्री करथरी माध्यमिक विद्यालय,27.60174992,85.57554281
Shree Panchakanya Basic School,श्री पञ्चकन्या आधारभूत विद्यालय,27.62493583,85.54939899
Shree Baljyoti Basic School,श्री बालज्योती आधारभूत विद्यालय,27.42944166,85.50167873
Shree Binayak Bal Basic School,श्री विनायक बाल आधारभूत विद्यालय,27.61451027,85.5881332
Shree Golmadevi Basic School,श्री गोल्मादेवी आधारभूत विद्यालय,27.65791073,85.5530185
Shree Bal Mandir Basic School,श्री बाल मन्दिर आधारभूत विद्यालय,27.62542277,85.55603957
Shree Seti Ganga Basic School,श्री सेतीगंगा आधारभूत विद्यालय,27.87316532,84.35170551
Shree Chandrawati Secondary School,श्री चन्द्रावती माध्यमिक विद्यालय,28.05491509,84.37129052
Shree Bishnu Secondary School,श्री विष्णु माध्यमिक विद्यालय,27.97648537,84.39246876
Shree Chandrodaya Basic School ,श्री चन्द्रोदय आधारभूत विद्यालय,27.945556,84.450833
Shree Kalika Secondary School,श्री कालिका माध्यमिक विद्यालय,,
Shree Shiva Secondary School,श्री शिव माध्यमिक विद्यालय,27.93174393,84.37296389
Shree Pabitra Secondary School ,श्री पवित्रा माध्यमिक विद्यालय,27.96794341,84.39999185
Shree Jagasdishwor Basic School ,श्री जगदीश्वर आधारभूत विद्यालय,27.953889,84.420556
Shree Arun Secondary School,श्री अरूण माध्यमिक विद्यालय,27.884167,84.384444
Shree Bhanu Secondary School,श्री भानु माध्यमिक विद्यालय,27.937222,84.404444
Shree Pangsing Basic School,श्री पाङसिङ्ग आधारभूत विद्यालय,28.2435,84.5321
Shree Shringi Himali Basic School,श्री श्रृङ्ग हिमाली आधारभूत विद्यालय,28.215,84.5345
Shree Nubri Basic School,श्री नुब्री आधारभूत विद्यालय,28.3154,84.4932